列号,列名,说明,取值/示例
1,模式编号,唯一标识,FM001、FM002...
2,错误码,错误码（如有）,空或具体错误码
3,模式名称,简短描述故障,建链失败、Pull KV失败
4,一级,产品分类,AI软件
5,二级,子产品,MINDIE
6,三级,模块,LLM
7,四级,组件,llm、cmotor、pymotor、vllm、vllm-ascend
8,五级,子系统,平台软件
9,故障原因,根因,底层返回失败状态码
10,故障影响（业务面）,业务影响,推理请求失败，无法进行KV传输
11,故障影响（管理面）,管理/监控面影响,链路状态查询显示失败
12,爆炸半径,影响范围,PD实例组、P/D实例、单个P-D链路、单个推理请求、无
13,故障等级,严重程度,致命/高/中/低
14,故障分类,故障类型,功能故障/通信故障/资源故障/配置故障/逻辑故障/状态故障/线程故障/进程故障/硬件故障/批量故障/超时故障/资源泄漏
15,场景分类,故障发生的场景,建链场景、推理场景、初始化场景、解链场景、配置场景、状态查询场景、角色设置场景、KV传输场景、角色切换场景、异常场景、清理场景
16,关键故障(影响),是否关键故障,是/否
17,典型故障(频次),发生频次,高/中/低
18,检测机制,代码中的检测方式,日志记录、计数器、超时检测、状态检测、健康检查
19,模块处理,代码中的处理逻辑,记录错误日志，返回错误码
20,系统处理,系统级处理,调用方根据错误码决定是否重试
21,恢复时间,恢复时效,需人工介入、自动重试、无需恢复等
22,恢复等级,恢复能力等级,空
23,故障可构造,是否可构造复现,是/否
24,构造方法,复现步骤,1. 修改底层代码... 2. 或配置错误参数...
25,故障定位方法,排查步骤,1. grep xxx 2. 检查xxx
26,故障关键日志,对应的日志内容,`Link failed, error code is {code}`
27,下级模式编号,关联的子/后续故障模式,FM009
28,检测使能条件,检测前提条件,日志输出正常、异常捕获正常等
29,可定位性自检结果,自检结论,可定位/不可定位
30,自动化定位,自动化程度,自动化/部分自动化/手动
